Remote Host,Logname,User,Time,Request,Status,Bytes Sent,Referer,User-Agent
::1,-,-,[2024-08-15T10:54:35.057Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T10:57:53.842Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:01:35.242Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:04:58.167Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:06:55.303Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:07:16.179Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:08:49.613Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:12:48.571Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:17:20.198Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1,-,-,[2024-08-15T11:20:28.850Z],"POST /botdetected/json HTTP/1.1",-,-,"http://localhost:3000/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
